#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:34:48
# Spline RMSE gcc_mean: 0.00384
# Spline RMSE gcc_50: 0.00372
# Spline RMSE gcc_75: 0.00403
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_90,2008-05-01,2008-05-07,2008-05-15,2008-04-29,2008-05-05,2008-05-12,2008-05-04,2008-05-09,2008-05-16,0.37627,0.39039,0.41797,0.36765,0.46107
harvard,DB,1000,rising,gcc_90,2009-04-26,2009-05-02,2009-05-09,2009-04-23,2009-05-01,2009-05-07,2009-04-29,2009-05-04,2009-05-10,0.3768,0.38992,0.41598,0.36793,0.46196
harvard,DB,1000,rising,gcc_90,2010-04-18,2010-04-24,2010-05-02,2010-04-15,2010-04-23,2010-04-30,2010-04-21,2010-04-26,2010-05-03,0.37725,0.38977,0.42038,0.36851,0.46463
harvard,DB,1000,rising,gcc_90,2011-04-30,2011-05-06,2011-05-13,2011-04-28,2011-05-05,2011-05-11,2011-05-03,2011-05-08,2011-05-14,0.37885,0.394,0.42254,0.37059,0.46819
harvard,DB,1000,rising,gcc_90,2012-04-22,2012-04-29,2012-05-06,2012-04-15,2012-04-28,2012-05-04,2012-04-25,2012-05-01,2012-05-07,0.38243,0.39621,0.42503,0.37223,0.47506
harvard,DB,1000,rising,gcc_90,2013-04-28,2013-05-03,2013-05-10,2013-04-26,2013-05-02,2013-05-08,2013-04-30,2013-05-05,2013-05-11,0.38195,0.39627,0.42472,0.37261,0.47046
harvard,DB,1000,rising,gcc_90,2014-05-05,2014-05-10,2014-05-16,2014-05-03,2014-05-09,2014-05-15,2014-05-07,2014-05-12,2014-05-17,0.38281,0.39849,0.42652,0.37311,0.47993
harvard,DB,1000,rising,gcc_90,2015-04-30,2015-05-05,2015-05-12,2015-04-28,2015-05-03,2015-05-10,2015-05-02,2015-05-07,2015-05-13,0.38145,0.39549,0.42177,0.37267,0.46612
harvard,DB,1000,rising,gcc_90,2016-05-05,2016-05-11,2016-05-17,2016-05-03,2016-05-10,2016-05-15,2016-05-08,2016-05-13,2016-05-18,0.38447,0.3996,0.42873,0.37552,0.47661
harvard,DB,1000,rising,gcc_90,2017-05-02,2017-05-08,2017-05-15,2017-04-28,2017-05-07,2017-05-13,2017-05-05,2017-05-10,2017-05-16,0.38517,0.39981,0.43444,0.37444,0.48943
harvard,DB,1000,rising,gcc_90,2018-05-01,2018-05-06,2018-05-13,2018-04-29,2018-05-05,2018-05-11,2018-05-04,2018-05-08,2018-05-14,0.38377,0.39691,0.42871,0.37496,0.47848
