#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:20
# Spline RMSE gcc_mean: 0.00376
# Spline RMSE gcc_50: 0.00388
# Spline RMSE gcc_75: 0.00389
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,rising,gcc_90,2012-05-04,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-06,2012-05-08,2012-05-12,0.3188,0.32952,0.36363,0.31074,0.40887
harvardbarn2,DB,1000,rising,gcc_90,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.32087,0.33596,0.37234,0.31045,0.42696
harvardbarn2,DB,1000,rising,gcc_90,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-19,2014-05-15,2014-05-18,2014-05-21,0.31955,0.33608,0.36819,0.30986,0.4257
harvardbarn2,DB,1000,rising,gcc_90,2015-05-06,2015-05-09,2015-05-14,2015-05-05,2015-05-08,2015-05-12,2015-05-08,2015-05-11,2015-05-15,0.32424,0.34047,0.37998,0.317,0.4343
harvardbarn2,DB,1000,rising,gcc_90,2016-05-11,2016-05-16,2016-05-21,2016-05-08,2016-05-15,2016-05-19,2016-05-13,2016-05-18,2016-05-22,0.3263,0.34447,0.38256,0.31347,0.44423
harvardbarn2,DB,1000,rising,gcc_90,2017-05-11,2017-05-14,2017-05-19,2017-05-10,2017-05-13,2017-05-17,2017-05-13,2017-05-16,2017-05-20,0.32422,0.34316,0.3858,0.31347,0.44741
harvardbarn2,DB,1000,rising,gcc_90,2018-05-08,2018-05-11,2018-05-16,2018-05-06,2018-05-10,2018-05-15,2018-05-10,2018-05-13,2018-05-17,0.32298,0.33617,0.37067,0.31302,0.42561
harvardbarn2,DB,1000,rising,gcc_90,2019-05-13,2019-05-17,2019-05-22,2019-05-11,2019-05-16,2019-05-20,2019-05-16,2019-05-18,2019-05-23,0.31364,0.33319,0.37043,0.30407,0.42538
harvardbarn2,DB,1000,rising,gcc_90,2020-05-14,2020-05-18,2020-05-23,2020-05-11,2020-05-17,2020-05-21,2020-05-17,2020-05-20,2020-05-24,0.31619,0.3319,0.36887,0.307,0.41672
harvardbarn2,DB,1000,rising,gcc_75,2012-05-04,2012-05-06,2012-05-11,2012-05-02,2012-05-05,2012-05-09,2012-05-06,2012-05-08,2012-05-12,0.31534,0.32566,0.35853,0.30662,0.40362
harvardbarn2,DB,1000,rising,gcc_75,2013-05-05,2013-05-08,2013-05-14,2013-05-03,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.31706,0.3319,0.36762,0.30693,0.41754
