#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:07
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,rising,gcc_90,2012-04-26,2012-05-03,2012-05-09,2012-04-20,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-10,0.31147,0.32433,0.35173,0.30214,0.39738
harvardbarn,DB,1000,rising,gcc_90,2013-05-02,2013-05-06,2013-05-11,2013-05-01,2013-05-05,2013-05-09,2013-05-04,2013-05-07,2013-05-12,0.30516,0.32132,0.34749,0.29782,0.39241
harvardbarn,DB,1000,rising,gcc_90,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30718,0.32059,0.35043,0.29861,0.39937
harvardbarn,DB,1000,rising,gcc_90,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30852,0.32103,0.34919,0.30127,0.3966
harvardbarn,DB,1000,rising,gcc_90,2016-05-09,2016-05-13,2016-05-18,2016-05-08,2016-05-12,2016-05-17,2016-05-11,2016-05-14,2016-05-19,0.30887,0.32459,0.35161,0.301,0.40177
harvardbarn,DB,1000,rising,gcc_90,2017-05-05,2017-05-11,2017-05-16,2017-05-01,2017-05-10,2017-05-15,2017-05-07,2017-05-12,2017-05-17,0.30984,0.32525,0.35243,0.30093,0.39878
harvardbarn,DB,1000,rising,gcc_90,2018-05-05,2018-05-09,2018-05-14,2018-05-04,2018-05-08,2018-05-12,2018-05-07,2018-05-10,2018-05-15,0.31103,0.32656,0.35777,0.30242,0.40506
harvardbarn,DB,1000,rising,gcc_90,2019-05-09,2019-05-14,2019-05-19,2019-05-08,2019-05-13,2019-05-18,2019-05-11,2019-05-16,2019-05-20,0.31167,0.32607,0.35328,0.3035,0.40159
harvardbarn,DB,1000,rising,gcc_90,2020-05-12,2020-05-17,2020-05-22,2020-05-10,2020-05-16,2020-05-20,2020-05-14,2020-05-18,2020-05-23,0.31313,0.33026,0.36751,0.30158,0.41856
harvardbarn,DB,1000,rising,gcc_90,2021-05-08,2021-05-11,2021-05-16,2021-05-07,2021-05-10,2021-05-15,2021-05-10,2021-05-12,2021-05-17,0.31899,0.33417,0.36588,0.30922,0.41975
harvardbarn,DB,1000,rising,gcc_90,2022-05-08,2022-05-12,2022-05-16,2022-05-07,2022-05-11,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31963,0.3374,0.36978,0.31049,0.41927
harvardbarn,DB,1000,rising,gcc_75,2012-04-27,2012-05-04,2012-05-10,2012-04-22,2012-05-03,2012-05-08,2012-04-30,2012-05-05,2012-05-11,0.31051,0.32444,0.3535,0.30209,0.39385
harvardbarn,DB,1000,rising,gcc_75,2013-05-02,2013-05-06,2013-05-11,2013-05-01,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.30291,0.31827,0.3432,0.29508,0.38952
harvardbarn,DB,1000,rising,gcc_75,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-10,2014-05-14,2014-05-18,0.30528,0.31838,0.34739,0.29575,0.39778
harvardbarn,DB,1000,rising,gcc_75,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30546,0.31834,0.34668,0.29823,0.39309
harvardbarn,DB,1000,rising,gcc_75,2016-05-09,2016-05-13,2016-05-19,2016-05-07,2016-05-12,2016-05-17,2016-05-11,2016-05-14,2016-05-20,0.30732,0.32261,0.35472,0.29736,0.39952
harvardbarn,DB,1000,rising,gcc_75,2017-05-04,2017-05-10,2017-05-16,2017-05-01,2017-05-09,2017-05-15,2017-05-07,2017-05-12,2017-05-17,0.30673,0.31906,0.34845,0.29813,0.39502
harvardbarn,DB,1000,rising,gcc_75,2018-05-05,2018-05-09,2018-05-14,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-15,0.30775,0.32186,0.35193,0.29958,0.40282
harvardbarn,DB,1000,rising,gcc_75,2019-05-09,2019-05-14,2019-05-19,2019-05-07,2019-05-13,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30988,0.32493,0.35101,0.30096,0.39844
harvardbarn,DB,1000,rising,gcc_75,2020-05-12,2020-05-17,2020-05-22,2020-05-10,2020-05-16,2020-05-20,2020-05-14,2020-05-18,2020-05-23,0.31059,0.32686,0.36316,0.29905,0.41522
harvardbarn,DB,1000,rising,gcc_75,2021-05-08,2021-05-11,2021-05-17,2021-05-07,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-18,0.31712,0.33095,0.36865,0.30696,0.4171
harvardbarn,DB,1000,rising,gcc_75,2022-05-08,2022-05-12,2022-05-16,2022-05-07,2022-05-11,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31776,0.33492,0.36657,0.30866,0.4156
harvardbarn,DB,1000,rising,gcc_50,2012-04-26,2012-05-04,2012-05-10,2012-04-21,2012-05-03,2012-05-08,2012-04-29,2012-05-06,2012-05-11,0.30752,0.32015,0.34708,0.29857,0.38932
harvardbarn,DB,1000,rising,gcc_50,2013-05-02,2013-05-06,2013-05-11,2013-05-01,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.29865,0.3136,0.33827,0.29018,0.38488
harvardbarn,DB,1000,rising,gcc_50,2014-05-09,2014-05-13,2014-05-18,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-19,0.30085,0.31753,0.34686,0.29228,0.39338
